% X;Y;w (m) @ lambda=1;w (m) @ lambda=2;w (m) @ lambda=3;w (m) @ lambda=4;w (m) @ lambda=5;w (m) @ lambda=6;w (m) @ lambda=7;w (m) @ lambda=8;w (m) @ lambda=9;w (m) @ lambda=10;w (m) @ lambda=11;w (m) @ lambda=12;w (m) @ lambda=13;w (m) @ lambda=14;w (m) @ lambda=15;w (m) @ lambda=16;w (m) @ lambda=17;w (m) @ lambda=18;w (m) @ lambda=19;w (m) @ lambda=20;w (m) @ lambda=21;w (m) @ lambda=22;w (m) @ lambda=23;w (m) @ lambda=24;w (m) @ lambda=25;w (m) @ lambda=26;w (m) @ lambda=27;w (m) @ lambda=28;w (m) @ lambda=29;w (m) @ lambda=30
4.699999999999999;0.5;3.4021156996908137E-7;-1.698542614521827E-7;9.313772201321063E-7;-6.268965869893107E-6;-5.850457775606012E-6;1.2585987668179832E-5;-9.106605943026451E-7;1.1799067554166866E-5;8.292342923468655E-7;-5.727503874498125E-6;-3.842033841372297E-6;-5.255383383033141E-6;5.668959227385713E-7;-9.132107103028259E-6;-2.287080770033415E-6;-8.003952422764244E-7;3.4919639463314987E-6;-8.394019180744667E-6;2.9407341399095714E-6;7.64516147291289E-6;-4.5124085518423366E-6;-3.0935829489449753E-6;-2.2879569994503224E-6;8.417956025675448E-6;-1.2991578496864794E-6;1.2975618020408797E-6;-4.14559505760453E-6;-2.4255362760585518E-6;-2.0482074468983003E-6;-3.5869197944457925E-6
4.9;0.5;3.270086399685135E-7;-2.1052694266183032E-7;1.0374619374496382E-6;-6.536913825102835E-6;-5.568427764979407E-6;1.2525561154610588E-5;-3.038045155641333E-7;1.1858510185011673E-5;7.750028058728437E-7;-5.470694474624942E-6;-4.2754461343364555E-6;-4.978028751763086E-6;-5.376960370658192E-7;-9.260790532280602E-6;-7.677508371208384E-7;-2.7045880430398684E-7;2.0542585571093925E-6;-8.766123318243689E-6;3.234202372771352E-6;7.881667455204768E-6;-4.75612513534019E-6;-3.2682234706431217E-6;-7.71332762584983E-7;8.71773949678859E-6;-1.4956989834725044E-6;-5.545808801299374E-7;-2.7251205581078758E-6;-8.321455450611626E-7;-7.003720997181112E-7;-2.90733374604288E-6
5.1;0.5;3.1380572601393585E-7;-2.511996079646795E-7;1.1435465906678492E-6;-6.8048616471424305E-6;-5.286397633917147E-6;1.2465134162020576E-5;3.036391318382094E-7;1.1858511328977692E-5;7.750011100146939E-7;-5.149995486787149E-6;-4.656790930985612E-6;-4.7227094003519235E-6;-1.6633019480917666E-6;-9.26081220049607E-6;7.674321725866303E-7;2.7031740076747294E-7;5.718254456370195E-7;-8.985438150777426E-6;3.2342190953724326E-6;7.881660814317704E-6;-4.755505743927937E-6;-3.2691785668545287E-6;7.711897284734631E-7;8.717775748284235E-6;-1.4957015367433049E-6;-2.4827615771522576E-6;-1.2524936687290635E-6;8.316583824175475E-7;7.014690673773411E-7;-2.0861537857310013E-6
5.300000000000001;0.5;3.006028270769429E-7;-2.9187225597758545E-7;1.2496311778926725E-6;-7.072809324472789E-6;-5.004367396084225E-6;1.240470670067884E-5;9.104960462139559E-7;1.1799071180647119E-5;8.292309298447504E-7;-4.767046860826873E-6;-4.984114386518924E-6;-4.496346345490097E-6;-2.7794520691302088E-6;-9.132166440043803E-6;2.286766327464724E-6;8.002609810006111E-7;-9.120397771952465E-7;-9.045558211203195E-6;2.9407529854184354E-6;7.645153087412005E-6;-4.505168129072619E-6;-3.1042551880989815E-6;2.2878177654519377E-6;8.418068983893164E-6;-1.2991430153325623E-6;-4.340665739267049E-6;1.604553807705744E-7;2.425082257552253E-6;2.0492522452668407E-6;-1.148026008078731E-6
5.5;0.5;2.8739994218487176E-7;-3.3254488617538577E-7;1.3557156980477726E-6;-7.340756848131538E-6;-4.7223370663352184E-6;1.2344278784894683E-5;1.5156013429616134E-6;1.1680549688265593E-5;9.372607246419987E-7;-4.3240736347194085E-6;-5.255982823436241E-6;-4.305201182200188E-6;-3.856019833653527E-6;-8.876598178724928E-6;3.759029896060101E-6;1.2980828123756757E-6;-2.3543274834038555E-6;-8.943657502882237E-6;2.3675390329426307E-6;7.184140896076237E-6;-4.012517888000189E-6;-2.7897181988348445E-6;3.7278880285292725E-6;7.83190769858036E-6;-9.185928843962468E-7;-5.988943815108155E-6;1.4057819023089074E-6;3.81340593161591E-6;3.2397993730875947E-6;-1.2448132776349306E-7
5.699999999999999;0.5;2.741970703686625E-7;-3.732174982672296E-7;1.4618001509400645E-6;-7.608704211936584E-6;-4.440306660664624E-6;1.2283850433241777E-5;2.1178020116654728E-6;1.1503663691464625E-5;1.098230213917961E-6;-3.823875210506318E-6;-5.471484850002401E-6;-4.154762602217657E-6;-4.863769031390313E-6;-8.49759044199908E-6;5.1540193210903575E-6;1.743345872623797E-6;-3.7132728173301553E-6;-8.680564461739133E-6;1.5414845359309785E-6;6.522045646735701E-6;-3.2973779963239852E-6;-2.349579014187516E-6;5.043276045514203E-6;6.9853151674538414E-6;-3.785480285732223E-7;-7.305264343303553E-6;2.3873174242607253E-6;4.877726781255844E-6;4.182832213770045E-6;9.467478098994089E-7
5.8999999999999995;0.5;2.6099421064304685E-7;-4.13890092260264E-7;1.5678845371139308E-6;-7.876651411751053E-6;-4.158276195414446E-6;1.2223421666769087E-5;2.715970747304116E-6;1.1269478222516564E-5;1.3108643795894086E-6;-3.2697818881823094E-6;-5.63023555996907E-6;-4.0496094221482E-6;-5.775114372436782E-6;-8.000276723654285E-6;6.443321594008411E-6;2.1170961783577087E-6;-4.94971807191366E-6;-8.260717743342213E-6;5.013549689438286E-7;5.692528383934863E-6;-2.3909747661709277E-6;-1.8143289357147831E-6;6.190291891937704E-6;5.915698072861749E-6;2.860424936782408E-7;-8.19427611549761E-6;3.028571023213413E-6;5.524794486535623E-6;4.808768230672707E-6;2.0232666905338483E-6
6.1;0.5;2.4779136190313235E-7;-4.545626679468252E-7;1.6739688577187284E-6;-8.144598444673615E-6;-3.876245686534903E-6;1.2162992507134428E-5;3.3090157269901176E-6;1.0979395243355715E-5;1.5734901324444774E-6;-2.6656159079397857E-6;-5.73237461073401E-6;-3.993304545258212E-6;-6.564751636076867E-6;-7.391366091020815E-6;7.600945962111726E-6;2.402371971578933E-6;-6.028200131392866E-6;-7.692063438495524E-6;-7.040087549619424E-7;4.737831796103477E-6;-1.3343842405564798E-6;-1.2194537002218255E-6;7.131155146025501E-6;4.670100212829465E-6;1.0317693387431183E-6;-8.594830691366684E-6;3.2787723368962035E-6;5.69420454233633E-6;5.07446167157294E-6;3.0597336828200152E-6
6.3;0.5;2.345885227240019E-7;-4.952352249240609E-7;1.7800531145994739E-6;-8.412545308428399E-6;-3.5942151490335836E-6;1.2102562975253608E-5;3.895890295440222E-6;1.0635140458525925E-5;1.884054219845848E-6;-2.015648094897464E-6;-5.7785584784923595E-6;-3.988303786701123E-6;-7.210213630842116E-6;-6.679040814108978E-6;8.603877492867975E-6;2.5846496091665615E-6;-6.917904379128271E-6;-6.985840347850273E-6;-2.0178171445397E-6;3.7067643090161748E-6;-1.7659722000451546E-7;-6.037541769612467E-7;7.835201592288395E-6;3.303055472182907E-6;1.809100608279308E-6;-8.484607187048301E-6;3.1170963380948137E-6;5.363213272394949E-6;4.96687926386517E-6;4.009738623953745E-6
6.5;0.5;2.2138569125750488E-7;-5.359077624953344E-7;1.886137310275842E-6;-8.680492001055051E-6;-3.312184596530963E-6;1.2042133090463816E-5;4.475606476166982E-6;1.0238738551499958E-5;2.2401575741113516E-6;-1.3245262576818167E-6;-5.7699380003118566E-6;-4.03589338739963E-6;-7.692441456076554E-6;-5.872778853228634E-6;9.43264788976892E-6;2.652288450811237E-6;-7.593657460404952E-6;-6.156218362658005E-6;-3.378148349562641E-6;2.652112612282639E-6;1.028080118181409E-6;-7.2518992560079215E-9;8.280069270501414E-6;1.87373742133212E-6;2.565455245997243E-6;-7.881677705672017E-6;2.554517790800364E-6;4.548657644563162E-6;4.504179615960141E-6;4.8283430481059014E-6
